date,confirmed,deaths,recovered,fatality_rate_by_total_cases,fatality_rate_by_closed_cases
2020-01-22,0,0,0,0.0,0.0
2020-01-23,0,0,0,0.0,0.0
2020-01-24,0,0,0,0.0,0.0
2020-01-25,0,0,0,0.0,0.0
2020-01-26,0,0,0,0.0,0.0
2020-01-27,0,0,0,0.0,0.0
2020-01-28,0,0,0,0.0,0.0
2020-01-29,0,0,0,0.0,0.0
2020-01-30,0,0,0,0.0,0.0
2020-01-31,2,0,0,0.0,0.0
2020-02-01,2,0,0,0.0,0.0
2020-02-02,2,0,0,0.0,0.0
2020-02-03,2,0,0,0.0,0.0
2020-02-04,2,0,0,0.0,0.0
2020-02-05,2,0,0,0.0,0.0
2020-02-06,2,0,0,0.0,0.0
2020-02-07,3,0,0,0.0,0.0
2020-02-08,3,0,0,0.0,0.0
2020-02-09,3,0,0,0.0,0.0
2020-02-10,3,0,0,0.0,0.0
2020-02-11,3,0,0,0.0,0.0
2020-02-12,3,0,0,0.0,0.0
2020-02-13,3,0,0,0.0,0.0
2020-02-14,3,0,0,0.0,0.0
2020-02-15,3,0,0,0.0,0.0
2020-02-16,3,0,0,0.0,0.0
2020-02-17,3,0,0,0.0,0.0
2020-02-18,3,0,0,0.0,0.0
2020-02-19,3,0,0,0.0,0.0
2020-02-20,3,0,0,0.0,0.0
2020-02-21,20,1,0,0.05,1.0
2020-02-22,62,2,1,0.03225806451612903,0.6666666666666666
2020-02-23,155,3,2,0.01935483870967742,0.6
2020-02-24,229,7,1,0.03056768558951965,0.875
2020-02-25,322,10,1,0.031055900621118012,0.9090909090909091
2020-02-26,453,12,3,0.026490066225165563,0.8
2020-02-27,655,17,45,0.025954198473282442,0.27419354838709675
2020-02-28,888,21,46,0.02364864864864865,0.31343283582089554
2020-02-29,1128,29,46,0.025709219858156027,0.38666666666666666
2020-03-01,1694,34,83,0.020070838252656435,0.2905982905982906
2020-03-02,2036,52,149,0.025540275049115914,0.25870646766169153
2020-03-03,2502,79,160,0.03157474020783373,0.3305439330543933
2020-03-04,3089,107,276,0.03463904176108773,0.2793733681462141
2020-03-05,3858,148,414,0.0383618455158113,0.26334519572953735
2020-03-06,4636,197,523,0.042493528904227786,0.27361111111111114
2020-03-07,5883,233,589,0.039605643379228284,0.28345498783454987
2020-03-08,7375,366,622,0.0496271186440678,0.37044534412955465
2020-03-09,9172,463,724,0.050479720889664195,0.3900589721988206
2020-03-10,10149,631,724,0.062173613163858506,0.4656826568265683
2020-03-11,12462,827,1045,0.06636173968865351,0.44177350427350426
2020-03-12,12462,827,1045,0.06636173968865351,0.44177350427350426
2020-03-13,17660,1266,1439,0.07168742921857305,0.4680221811460259
2020-03-14,21157,1441,1966,0.06810984544122513,0.4229527443498679
2020-03-15,24747,1809,2335,0.0730997696690508,0.43653474903474904
2020-03-16,27980,2158,2749,0.0771265189421015,0.4397799062563685
2020-03-17,31506,2503,2941,0.07944518504411859,0.45977222630418807
2020-03-18,35713,2978,4025,0.08338700193206955,0.42524632300442666
2020-03-19,41035,3405,4440,0.08297794565614719,0.4340344168260038
